year,sector,itc_fraction
2008,Commercial,0.3
2009,Commercial,0.3
2010,Commercial,0.3
2011,Commercial,0.3
2012,Commercial,0.3
2013,Commercial,0.3
2014,Commercial,0.3
2015,Commercial,0.3
2016,Commercial,0.3
2017,Commercial,0.3
2018,Commercial,0.3
2019,Commercial,0.3
2020,Commercial,0.26
2021,Commercial,0.26
2022,Commercial,0.3
2023,Commercial,0.3
2024,Commercial,0.3
2025,Commercial,0.3
2026,Commercial,0.3
2027,Commercial,0.3
2028,Commercial,0
2029,Commercial,0
2030,Commercial,0
2031,Commercial,0
2032,Commercial,0
2033,Commercial,0
2034,Commercial,0
2035,Commercial,0
2036,Commercial,0
2037,Commercial,0
2038,Commercial,0
2039,Commercial,0
2040,Commercial,0
2041,Commercial,0
2042,Commercial,0
2043,Commercial,0
2044,Commercial,0
2045,Commercial,0
2046,Commercial,0
2047,Commercial,0
2048,Commercial,0
2049,Commercial,0
2050,Commercial,0
2008,Industrial,0.3
2009,Industrial,0.3
2010,Industrial,0.3
2011,Industrial,0.3
2012,Industrial,0.3
2013,Industrial,0.3
2014,Industrial,0.3
2015,Industrial,0.3
2016,Industrial,0.3
2017,Industrial,0.3
2018,Industrial,0.3
2019,Industrial,0.3
2020,Industrial,0.26
2021,Industrial,0.26
2022,Industrial,0.3
2023,Industrial,0.3
2024,Industrial,0.3
2025,Industrial,0.3
2026,Industrial,0.3
2027,Industrial,0.3
2028,Industrial,0
2029,Industrial,0
2030,Industrial,0
2031,Industrial,0
2032,Industrial,0
2033,Industrial,0
2034,Industrial,0
2035,Industrial,0
2036,Industrial,0
2037,Industrial,0
2038,Industrial,0
2039,Industrial,0
2040,Industrial,0
2041,Industrial,0
2042,Industrial,0
2043,Industrial,0
2044,Industrial,0
2045,Industrial,0
2046,Industrial,0
2047,Industrial,0
2048,Industrial,0
2049,Industrial,0
2050,Industrial,0
2008,Residential,0.3
2009,Residential,0.3
2010,Residential,0.3
2011,Residential,0.3
2012,Residential,0.3
2013,Residential,0.3
2014,Residential,0.3
2015,Residential,0.3
2016,Residential,0.3
2017,Residential,0.3
2018,Residential,0.3
2019,Residential,0.3
2020,Residential,0.26
2021,Residential,0.26
2022,Residential,0.3
2023,Residential,0.3
2024,Residential,0.3
2025,Residential,0.3
2026,Residential,0
2027,Residential,0
2028,Residential,0
2029,Residential,0
2030,Residential,0
2031,Residential,0
2032,Residential,0
2033,Residential,0
2034,Residential,0
2035,Residential,0
2036,Residential,0
2037,Residential,0
2038,Residential,0
2039,Residential,0
2040,Residential,0
2041,Residential,0
2042,Residential,0
2043,Residential,0
2044,Residential,0
2045,Residential,0
2046,Residential,0
2047,Residential,0
2048,Residential,0
2049,Residential,0
2050,Residential,0
